Plot Title: B01 Mesa Top,,,,,
RID,Date,Time,Event,Details1,Details2
605,9/9/2013,48:57.0,8527,,
606,9/9/2013,51:38.5,8528,,
607,9/9/2013,04:45.0,8529,,
608,9/9/2013,26:54.0,8530,,
609,9/9/2013,18:10.5,8531,,
610,9/9/2013,20:06.5,8532,,
611,9/9/2013,20:30.0,8533,,
612,9/9/2013,20:52.0,8534,,
613,9/9/2013,21:17.5,8535,,
614,9/9/2013,21:42.0,8536,,
615,9/9/2013,22:15.5,8537,,
616,9/9/2013,22:53.5,8538,,
617,9/9/2013,23:45.5,8539,,
618,9/9/2013,25:00.5,8540,,
619,9/9/2013,27:09.5,8541,,
620,9/9/2013,30:28.5,8542,,
621,9/9/2013,34:45.0,8543,,
622,9/9/2013,37:35.5,8544,,
623,9/9/2013,40:45.5,8545,,
624,9/9/2013,43:21.0,8546,,
625,9/9/2013,47:49.0,8547,,
626,9/9/2013,50:38.0,8548,,
627,9/9/2013,51:58.0,8549,,
628,9/9/2013,54:05.0,8550,,
629,9/9/2013,57:17.0,8551,,
630,9/9/2013,00:18.0,8552,,
631,9/9/2013,03:01.5,8553,,
632,9/9/2013,05:32.0,8554,,
633,9/9/2013,07:28.0,8555,,
634,9/9/2013,09:40.5,8556,,
635,9/9/2013,12:10.5,8557,,
636,9/9/2013,14:11.0,8558,,
637,9/9/2013,16:45.0,8559,,
638,9/9/2013,18:56.0,8560,,
639,9/9/2013,20:53.0,8561,,
640,9/9/2013,22:34.5,8562,,
641,9/9/2013,24:31.0,8563,,
642,9/9/2013,26:15.0,8564,,
643,9/9/2013,29:51.0,8565,,
644,9/9/2013,33:48.5,8566,,
645,9/9/2013,41:43.0,8567,,
646,9/9/2013,47:09.0,8568,,
647,9/9/2013,53:49.0,8569,,
648,9/9/2013,10:36.0,8570,,
649,9/9/2013,20:03.5,8571,,
650,9/9/2013,24:57.0,8572,,
651,9/9/2013,30:01.5,8573,,
652,9/9/2013,39:39.5,8574,,
653,9/9/2013,37:26.5,8575,,
654,9/9/2013,05:53.5,8576,,
655,9/9/2013,21:06.0,8577,,
656,9/10/2013,05:25.5,8578,,
657,9/10/2013,06:20.0,8579,,
658,9/10/2013,09:51.0,8580,,
659,9/10/2013,16:41.0,8581,,
660,9/10/2013,30:28.5,8582,,
661,9/10/2013,35:56.0,8583,,
662,9/10/2013,39:04.0,8584,,
663,9/10/2013,43:09.0,8585,,
664,9/10/2013,46:23.5,8586,,
665,9/10/2013,54:29.0,8587,,
666,9/10/2013,59:37.0,8588,,
667,9/10/2013,00:42.0,8589,,
